,Date,Open,High,Low,Adj Close,Volume,ref_Close,Perc_ref,Perc_Change,Ticker,Net_Close,Net_High,Net_Low,PC 1,PC 2,PC 3,Class
0,2020-01-02,6.14,6.47,6.07,6.31,4453600,0.0,0.0,0.0269413629160063,GME,0.1699999999999999,0.33,-0.0699999999999994,-0.7616070839870923,-0.6533208637136805,0.20580676771511447,0
1,2020-01-03,6.21,6.25,5.84,5.88,3543900,-0.4299999999999997,-0.0681458003169571,-0.0561224489795918,GME,-0.33,0.04,-0.3700000000000001,-0.5244925601968834,-0.8190665524348824,0.23879897095116576,0
2,2020-01-06,5.8,5.91,5.6,5.85,3394800,-0.4599999999999999,-0.0729001584786053,0.0085470085470085,GME,0.0499999999999998,0.1100000000000003,-0.2000000000000001,-0.6831152352617224,-0.7846744731535887,0.22269584060316058,0
3,2020-01-07,5.77,5.83,5.44,5.52,5228000,-0.79,-0.1251980982567353,-0.0452898550724637,GME,-0.25,0.0600000000000005,-0.3299999999999992,-0.5469558070957864,-0.7418623454724869,0.3117944628137558,0
4,2020-01-08,5.49,5.85,5.41,5.72,5629400,-0.5899999999999999,-0.0935023771790808,0.0402097902097901,GME,0.2299999999999995,0.3599999999999994,-0.08,-0.76600940165442,-0.5893798188090189,0.24628130836137913,0
5,2020-01-09,5.82,5.82,5.48,5.55,2643000,-0.7599999999999998,-0.1204437400950871,-0.0486486486486487,GME,-0.2700000000000004,0.0,-0.3399999999999998,-0.5544945107671139,-0.8700698894568082,0.21526754617470564,0
6,2020-01-10,5.56,5.6,5.38,5.43,2781400,-0.8799999999999999,-0.1394611727416798,-0.0239410681399631,GME,-0.1299999999999999,0.04,-0.1799999999999997,-0.6459645170444404,-0.8516443878105583,0.2249330353246643,0
7,2020-01-13,5.43,5.61,5.33,5.43,3625200,-0.8799999999999999,-0.1394611727416798,0.0,GME,0.0,0.1800000000000006,-0.0999999999999996,-0.7071308231287923,-0.757590123425154,0.22085279671269928,0
8,2020-01-14,4.78,5.0,4.53,4.71,12561900,-1.5999999999999996,-0.2535657686212361,-0.0148619957537155,GME,-0.0700000000000002,0.2199999999999997,-0.25,-0.5737606459735061,-0.37853661979717046,0.5940543225646103,0
9,2020-01-15,4.66,4.73,4.55,4.61,4981100,-1.6999999999999993,-0.2694136291600633,-0.0108459869848155,GME,-0.0499999999999998,0.0700000000000002,-0.1100000000000003,-0.6755270635526817,-0.752212349398169,0.32138139378891345,0
10,2020-01-16,4.61,4.71,4.52,4.62,4287100,-1.6899999999999995,-0.2678288431061806,0.0021645021645021,GME,0.0099999999999997,0.0999999999999996,-0.0900000000000007,-0.7041192941842829,-0.7649226989103052,0.2807790917502868,0
11,2020-01-17,4.58,4.75,4.51,4.75,4019500,-1.5599999999999996,-0.2472266244057051,0.0357894736842105,GME,0.1699999999999999,0.1699999999999999,-0.0700000000000002,-0.7566248719142541,-0.7374610523624937,0.2437790888302236,0
12,2020-01-21,4.75,4.75,4.55,4.59,3532100,-1.7199999999999998,-0.2725832012678288,-0.0348583877995643,GME,-0.1600000000000001,0.0,-0.2000000000000001,-0.6239463271214887,-0.8389094923275526,0.27131449669812624,0
13,2020-01-22,4.55,4.64,4.46,4.56,2627500,-1.75,-0.277337559429477,0.0021929824561403,GME,0.0099999999999997,0.0899999999999998,-0.0899999999999998,-0.715854125774236,-0.8349885281586967,0.20915071417868947,0
14,2020-01-23,4.55,4.64,4.46,4.62,1880200,-1.6899999999999995,-0.2678288431061806,0.0151515151515152,GME,0.0700000000000002,0.0899999999999998,-0.0899999999999998,-0.7363766225448615,-0.8607448354843912,0.17448621175106874,0
15,2020-01-24,4.64,4.64,4.25,4.32,4163600,-1.9899999999999995,-0.3153724247226623,-0.0740740740740739,GME,-0.3199999999999994,0.0,-0.3899999999999997,-0.5134464135916228,-0.80892512530824,0.27871635374157405,0
16,2020-01-27,4.2,4.35,4.16,4.28,2122500,-2.03,-0.3217115689381932,0.0186915887850467,GME,0.08,0.1499999999999994,-0.04,-0.7574802151636488,-0.8294215418786292,0.1698583871342722,0
17,2020-01-28,4.3,4.3,4.18,4.21,2144900,-2.1,-0.3328050713153724,-0.021377672209026,GME,-0.0899999999999998,0.0,-0.1200000000000001,-0.6794051264356551,-0.8958774559108771,0.21733330883398996,0
18,2020-01-29,4.22,4.32,4.13,4.13,1552600,-2.18,-0.3454833597464342,-0.0217917675544793,GME,-0.0899999999999998,0.1000000000000005,-0.0899999999999998,-0.6992841208092503,-0.8799967855911196,0.1581353784377398,0
19,2020-01-30,4.1,4.12,3.88,3.93,3006500,-2.3799999999999994,-0.3771790808240887,-0.0432569974554706,GME,-0.1699999999999994,0.0200000000000004,-0.2199999999999997,-0.6194183865454798,-0.8504485500666702,0.23795802944894753,0
20,2020-01-31,3.91,3.94,3.83,3.84,2891700,-2.47,-0.3914421553090332,-0.0182291666666667,GME,-0.0700000000000002,0.0299999999999998,-0.08,-0.6942883739605196,-0.8556118742526928,0.24502532698795151,0
21,2020-02-03,3.88,3.98,3.85,3.95,2025600,-2.3599999999999994,-0.3740095087163232,0.0177215189873418,GME,0.0700000000000002,0.1,-0.0299999999999998,-0.7566000727393558,-0.855636062313203,0.18484079317643987,0
22,2020-02-04,4.03,4.25,3.97,4.07,3563100,-2.2399999999999998,-0.3549920760697305,0.0098280098280098,GME,0.04,0.2199999999999997,-0.06,-0.7334973406085169,-0.7439516881875641,0.2080104558319905,0
23,2020-02-05,4.15,4.41,4.14,4.18,2641700,-2.13,-0.3375594294770206,0.0071770334928228,GME,0.0299999999999993,0.2599999999999998,-0.0100000000000006,-0.7571621665246139,-0.7684928050777735,0.15809997004010035,0
24,2020-02-06,4.2,4.3,4.14,4.14,1510300,-2.17,-0.3438985736925515,-0.0144927536231885,GME,-0.0600000000000005,0.0999999999999996,-0.0600000000000005,-0.7174926822249962,-0.8821432970675726,0.15950689394159076,0
25,2020-02-07,4.11,4.13,3.77,3.81,2742300,-2.5,-0.3961965134706814,-0.078740157480315,GME,-0.3000000000000002,0.0199999999999995,-0.3400000000000003,-0.5472809174183817,-0.8597197375590514,0.21295688239630106,0
26,2020-02-10,3.85,4.1,3.74,3.94,2777000,-2.37,-0.375594294770206,0.0228426395939085,GME,0.0899999999999998,0.2499999999999995,-0.1099999999999998,-0.7360189317999105,-0.7553174302363375,0.15477022049831216,0
27,2020-02-11,3.98,4.24,3.95,4.02,3415000,-2.29,-0.3629160063391442,0.0099502487562188,GME,0.0399999999999995,0.2600000000000002,-0.0299999999999998,-0.7470289580807751,-0.7355269069082794,0.19056757308500738,0
28,2020-02-12,4.13,4.51,4.07,4.19,4820600,-2.119999999999999,-0.3359746434231377,0.0143198090692125,GME,0.0600000000000005,0.3799999999999999,-0.0599999999999996,-0.7374062544023501,-0.6258199611155327,0.2071009338952111,0
29,2020-02-13,4.12,4.26,4.07,4.11,2081700,-2.1999999999999997,-0.3486529318541996,-0.0024330900243308,GME,-0.0099999999999997,0.1399999999999996,-0.0499999999999998,-0.7312934647553792,-0.8402813378090765,0.17156709863303266,0
30,2020-02-14,4.11,4.19,4.02,4.02,1582700,-2.29,-0.3629160063391442,-0.0223880597014927,GME,-0.0900000000000007,0.08,-0.0900000000000007,-0.6980388213748943,-0.8871652182763539,0.16670616574825475,0
31,2020-02-18,4.01,4.08,3.96,4.06,1467600,-2.25,-0.3565768621236133,0.0123152709359605,GME,0.0499999999999998,0.0700000000000002,-0.0499999999999998,-0.7472519043818217,-0.8900215476622954,0.16816282366912366,0
32,2020-02-19,4.06,4.27,3.92,4.15,2593100,-2.1599999999999997,-0.3423137876386687,0.0216867469879519,GME,0.0900000000000007,0.2099999999999999,-0.1399999999999996,-0.7249371897009947,-0.7769222165821833,0.15716316920097792,0
33,2020-02-20,4.16,4.3,4.11,4.14,1562300,-2.17,-0.3438985736925515,-0.0048309178743962,GME,-0.0200000000000004,0.1399999999999996,-0.0499999999999998,-0.7326248475626752,-0.8615526689052329,0.1481535367047905,0
34,2020-02-21,4.12,4.18,3.99,4.04,1695700,-2.27,-0.3597464342313787,-0.0198019801980198,GME,-0.08,0.0599999999999996,-0.1299999999999999,-0.68482661230307,-0.8871607724186181,0.17399241433465346,0
35,2020-02-24,3.9,3.93,3.7,3.7,3566300,-2.6099999999999994,-0.4136291600633914,-0.0540540540540539,GME,-0.1999999999999997,0.0300000000000002,-0.1999999999999997,-0.6152233656753092,-0.8276138185026397,0.26258104162447615,0
36,2020-02-25,3.77,3.79,3.55,3.56,4447900,-2.75,-0.4358161648177495,-0.0589887640449438,GME,-0.2099999999999999,0.02,-0.2200000000000002,-0.5987767146457766,-0.7958337605078317,0.30382401638041334,0
37,2020-02-26,3.58,3.62,3.36,3.39,4724800,-2.9199999999999995,-0.4627575277337559,-0.0560471976401179,GME,-0.1899999999999999,0.04,-0.2200000000000002,-0.602759305086659,-0.7751742551113386,0.3089070344515898,0
38,2020-02-27,3.23,3.63,3.18,3.47,3879500,-2.8399999999999994,-0.450079239302694,0.069164265129683,GME,0.2400000000000002,0.3999999999999999,-0.0499999999999998,-0.7938622737950848,-0.6438928231419822,0.15609560171491052,0
39,2020-02-28,3.34,3.72,3.34,3.6,4692200,-2.7099999999999995,-0.4294770206022186,0.0722222222222222,GME,0.2600000000000002,0.3800000000000003,0.0,-0.8091653983718952,-0.6227270266256365,0.2060185080796327,0
