,Date,Open,High,Low,Adj Close,Volume,b_ref_Close,b_Perc_ref,a_ref_Close,a_Perc_ref,Ticker,Net_Close,Net_High
0,2020-01-02,6.14,6.47,6.07,6.31,4453600,0.6699999999999999,0.11879432624113474,-47.19,-0.8820560747663551,GME,0.16999999999999993,0.33000000000000007
1,2020-01-03,6.21,6.25,5.84,5.88,3543900,0.2400000000000002,0.04255319148936174,-47.62,-0.8900934579439251,GME,-0.33000000000000007,0.040000000000000036
2,2020-01-06,5.8,5.91,5.6,5.85,3394800,0.20999999999999996,0.03723404255319149,-47.65,-0.8906542056074767,GME,0.04999999999999982,0.11000000000000032
3,2020-01-07,5.77,5.83,5.44,5.52,5228000,-0.1200000000000001,-0.02127659574468087,-47.980000000000004,-0.8968224299065422,GME,-0.25,0.0600000000000005
4,2020-01-08,5.49,5.85,5.41,5.72,5629400,0.08000000000000007,0.014184397163120581,-47.78,-0.8930841121495328,GME,0.22999999999999954,0.35999999999999943
5,2020-01-09,5.82,5.82,5.48,5.55,2643000,-0.08999999999999986,-0.015957446808510613,-47.95,-0.8962616822429907,GME,-0.27000000000000046,0.0
6,2020-01-10,5.56,5.6,5.38,5.43,2781400,-0.20999999999999996,-0.03723404255319149,-48.07,-0.8985046728971963,GME,-0.1299999999999999,0.040000000000000036
7,2020-01-13,5.43,5.61,5.33,5.43,3625200,-0.20999999999999996,-0.03723404255319149,-48.07,-0.8985046728971963,GME,0.0,0.1800000000000006
8,2020-01-14,4.78,5.0,4.53,4.71,12561900,-0.9299999999999997,-0.16489361702127656,-48.79,-0.9119626168224299,GME,-0.07000000000000028,0.21999999999999975
9,2020-01-15,4.66,4.73,4.55,4.61,4981100,-1.0299999999999994,-0.1826241134751772,-48.89,-0.9138317757009345,GME,-0.04999999999999982,0.07000000000000028
10,2020-01-16,4.61,4.71,4.52,4.62,4287100,-1.0199999999999996,-0.18085106382978716,-48.88,-0.9136448598130842,GME,0.009999999999999787,0.09999999999999964
11,2020-01-17,4.58,4.75,4.51,4.75,4019500,-0.8899999999999997,-0.15780141843971626,-48.75,-0.9112149532710281,GME,0.16999999999999993,0.16999999999999993
12,2020-01-21,4.75,4.75,4.55,4.59,3532100,-1.0499999999999998,-0.18617021276595744,-48.91,-0.9142056074766355,GME,-0.16000000000000014,0.0
13,2020-01-22,4.55,4.64,4.46,4.56,2627500,-1.08,-0.1914893617021277,-48.94,-0.9147663551401869,GME,0.009999999999999787,0.08999999999999986
14,2020-01-23,4.55,4.64,4.46,4.62,1880200,-1.0199999999999996,-0.18085106382978716,-48.88,-0.9136448598130842,GME,0.07000000000000028,0.08999999999999986
15,2020-01-24,4.64,4.64,4.25,4.32,4163600,-1.3199999999999994,-0.23404255319148926,-49.18,-0.9192523364485982,GME,-0.3199999999999994,0.0
16,2020-01-27,4.2,4.35,4.16,4.28,2122500,-1.3599999999999994,-0.24113475177304955,-49.22,-0.9199999999999999,GME,0.08000000000000007,0.14999999999999947
17,2020-01-28,4.3,4.3,4.18,4.21,2144900,-1.4299999999999997,-0.2535460992907801,-49.29,-0.9213084112149532,GME,-0.08999999999999986,0.0
18,2020-01-29,4.22,4.32,4.13,4.13,1552600,-1.5099999999999998,-0.2677304964539007,-49.37,-0.922803738317757,GME,-0.08999999999999986,0.10000000000000053
19,2020-01-30,4.1,4.12,3.88,3.93,3006500,-1.7099999999999995,-0.30319148936170204,-49.57,-0.9265420560747664,GME,-0.16999999999999948,0.020000000000000462
20,2020-01-31,3.91,3.94,3.83,3.84,2891700,-1.7999999999999998,-0.3191489361702127,-49.66,-0.9282242990654205,GME,-0.07000000000000028,0.029999999999999805
21,2020-02-03,3.88,3.98,3.85,3.95,2025600,-1.6899999999999995,-0.2996453900709219,-49.55,-0.9261682242990653,GME,0.07000000000000028,0.10000000000000009
22,2020-02-04,4.03,4.25,3.97,4.07,3563100,-1.5699999999999994,-0.27836879432624106,-49.43,-0.9239252336448598,GME,0.040000000000000036,0.21999999999999975
23,2020-02-05,4.15,4.41,4.14,4.18,2641700,-1.46,-0.25886524822695034,-49.32,-0.9218691588785046,GME,0.02999999999999936,0.2599999999999998
24,2020-02-06,4.2,4.3,4.14,4.14,1510300,-1.5,-0.26595744680851063,-49.36,-0.9226168224299065,GME,-0.0600000000000005,0.09999999999999964
25,2020-02-07,4.11,4.13,3.77,3.81,2742300,-1.8299999999999996,-0.3244680851063829,-49.69,-0.9287850467289719,GME,-0.30000000000000027,0.019999999999999574
26,2020-02-10,3.85,4.1,3.74,3.94,2777000,-1.6999999999999997,-0.30141843971631205,-49.56,-0.9263551401869159,GME,0.08999999999999986,0.24999999999999956
27,2020-02-11,3.98,4.24,3.95,4.02,3415000,-1.62,-0.2872340425531915,-49.480000000000004,-0.9248598130841122,GME,0.03999999999999959,0.26000000000000023
28,2020-02-12,4.13,4.51,4.07,4.19,4820600,-1.4499999999999993,-0.2570921985815602,-49.31,-0.9216822429906543,GME,0.0600000000000005,0.3799999999999999
29,2020-02-13,4.12,4.26,4.07,4.11,2081700,-1.5299999999999994,-0.27127659574468077,-49.39,-0.9231775700934579,GME,-0.009999999999999787,0.13999999999999968
30,2020-02-14,4.11,4.19,4.02,4.02,1582700,-1.62,-0.2872340425531915,-49.480000000000004,-0.9248598130841122,GME,-0.09000000000000075,0.08000000000000007
31,2020-02-18,4.01,4.08,3.96,4.06,1467600,-1.58,-0.2801418439716312,-49.44,-0.9241121495327103,GME,0.04999999999999982,0.07000000000000028
32,2020-02-19,4.06,4.27,3.92,4.15,2593100,-1.4899999999999993,-0.2641843971631205,-49.35,-0.9224299065420561,GME,0.09000000000000075,0.20999999999999996
33,2020-02-20,4.16,4.3,4.11,4.14,1562300,-1.5,-0.26595744680851063,-49.36,-0.9226168224299065,GME,-0.020000000000000462,0.13999999999999968
34,2020-02-21,4.12,4.18,3.99,4.04,1695700,-1.5999999999999996,-0.2836879432624113,-49.46,-0.9244859813084112,GME,-0.08000000000000007,0.05999999999999961
35,2020-02-24,3.9,3.93,3.7,3.7,3566300,-1.9399999999999995,-0.3439716312056737,-49.8,-0.930841121495327,GME,-0.19999999999999973,0.03000000000000025
36,2020-02-25,3.77,3.79,3.55,3.56,4447900,-2.0799999999999996,-0.36879432624113473,-49.94,-0.9334579439252336,GME,-0.20999999999999996,0.020000000000000018
37,2020-02-26,3.58,3.62,3.36,3.39,4724800,-2.2499999999999996,-0.3989361702127659,-50.11,-0.9366355140186916,GME,-0.18999999999999995,0.040000000000000036
38,2020-02-27,3.23,3.63,3.18,3.47,3879500,-2.1699999999999995,-0.3847517730496453,-50.03,-0.9351401869158878,GME,0.2400000000000002,0.3999999999999999
39,2020-02-28,3.34,3.72,3.34,3.6,4692200,-2.0399999999999996,-0.36170212765957444,-49.9,-0.9327102803738317,GME,0.26000000000000023,0.38000000000000034
40,2020-03-02,3.6,3.85,3.39,3.83,3208400,-1.8099999999999996,-0.3209219858156028,-49.67,-0.9284112149532711,GME,0.22999999999999998,0.25
41,2020-03-03,3.88,3.89,3.5,3.63,4282500,-2.01,-0.35638297872340424,-49.87,-0.9321495327102803,GME,-0.25,0.010000000000000231
42,2020-03-04,3.71,3.83,3.46,3.77,4257600,-1.8699999999999997,-0.3315602836879432,-49.73,-0.9295327102803738,GME,0.06000000000000005,0.1200000000000001
43,2020-03-05,3.7,3.99,3.59,3.96,3599400,-1.6799999999999997,-0.2978723404255319,-49.54,-0.925981308411215,GME,0.2599999999999998,0.29000000000000004
44,2020-03-06,3.84,4.07,3.76,3.92,2096800,-1.7199999999999998,-0.3049645390070922,-49.58,-0.9267289719626168,GME,0.08000000000000007,0.23000000000000043
45,2020-03-09,3.59,3.97,3.5,3.7,2732000,-1.9399999999999995,-0.3439716312056737,-49.8,-0.930841121495327,GME,0.11000000000000032,0.38000000000000034
46,2020-03-10,3.94,4.26,3.8,4.23,4863200,-1.4099999999999993,-0.2499999999999999,-49.269999999999996,-0.9209345794392523,GME,0.2900000000000005,0.31999999999999984
47,2020-03-11,4.14,4.25,4.0,4.14,4414100,-1.5,-0.26595744680851063,-49.36,-0.9226168224299065,GME,0.0,0.11000000000000032
