,tweets,likes,time
0,https://t.co/aFLxUDwqGs #dragonball #dragonballz #dragonballsuper #vegeta #goku #supersaiyan #manga #anime #japanese #sketch #dccomics $SHIB #SHIBARMY #btc #bitcoin 2021-11-16 04:03:20.299106,0,2021-11-15 21:03:20+00:00
1,mfw #bitcoin-ers talk about consumption tax being fair or a remotely good idea. it's a horrible idea because in practice it is always paid by the poorest. https://t.co/U9Rw28UOEH,0,2021-11-15 21:03:20+00:00
2,"NFTs are about to go crazy you can feel it in the atmosphere 🌍 😍 
#NFTGiveaway #NFTs #NFTCommunity #Crypto #Bitcoin #OpenSeaNFT #MondayMotivation",0,2021-11-15 21:03:20+00:00
3,"RT @da_renn4: Banks in #ElSalvador are way ahead of german banks, i guess :-P
At least in terms of enabling sound money services :)
#Bitcoi…",0,2021-11-15 21:03:20+00:00
4,"RT @alperenkik: #Çekiliş 💸 💸

3 arkadaşıma 100’er dolar toplamda 300 dolar hediye ediyorum.

Yapmanız Gerekenler: 

1- @alperenkik
hesabımı…",0,2021-11-15 21:03:20+00:00
5,"📉💴$8,146,477 #bitcoin SHORTED @$63282.2 [15/11/21 21:03:19]
🏭 bybit | $BTCUSD

🗣️The first rule of trading is to survive. The second rule...remember rule number 1. - SJ1TINV3STOR",0,2021-11-15 21:03:20+00:00
6,"Hey friends,

I was invited to a Bitcoin Mining Networking event @ Compute North. Event is tomorrow and looks solid. I am planning to attend. Holler if you're going to join me. 

https://t.co/rp0w1zfzDQ",0,2021-11-15 21:03:19+00:00
7,"📉💴$2,712,036 #bitcoin SHORTED @$63350.24 [15/11/21 21:03:19]
🏭 bybit | $BTCUSD

🗣️Again!! Rekt again Arthur aaaaagh!! - Chestrcryptopot",0,2021-11-15 21:03:19+00:00
8,"🇮🇳 बिटकॉइन(BTC) आर्बिट्रेज संभावना ‼
  ✅BestAsk Exchange:Wazirx
  ⬇Price (BUY): 1BTC = 5,077,960 INR
  ✅BestBid Exchange:Zebpay
  ⬆Price (SELL): 1BTC = 5,105,107 INR
 💰💴Trading Profit💴💰27,147 INR
#Bitcoin #BTC #India #BTCINR #Arbitrage",0,2021-11-15 21:03:19+00:00
9,"RT @YearnNft: $YFNFT Presale Will be Live on 19th November,
by #YearnNFT 
Total Presale - 40%
19/11/2021
Round 1 - 20% Price 0.12 $BNB
01/1…",0,2021-11-15 21:03:19+00:00
10,"RT @nayibbukele: Where El Salvador of the past meets El Salvador of the future.

#Bitcoin🌋🇸🇻",0,2021-11-15 21:03:18+00:00
11,"@WazirXIndia @SuperFarmDAO Don't depend on a single income, Learn how to trade binace / Bitcoin 
Click on the link for more information
👇👇👇👇👇
https://t.co/nCKg9kmhck",0,2021-11-15 21:03:18+00:00
12,"📉💴$5,227,345 #bitcoin SHORTED @$63397.46 [15/11/21 21:03:18]
🏭 bybit | $BTCUSD

🗣️It’s not the last time you hear that it’s the last time we will see BTC below 10k. - cryptodevise",0,2021-11-15 21:03:18+00:00
13,@Bitcoin_Norway why fighting?,0,2021-11-15 21:03:18+00:00
14,RT @JesseOlson: Updated 8 HR #bitcoin chart. https://t.co/AWi5GpGdTq,0,2021-11-15 21:03:18+00:00
15,"RT @CMarketcoins: 🚀 New CoinMarketCoins  listing found!🚀

DRIFE (DRF)

CoinMarketCoins  page for more info:

https://t.co/k7Kcn6BPt9

#bitc…",0,2021-11-15 21:03:17+00:00
16,"📉💴$1,805,604 #bitcoin SHORTED @$63500.0 [15/11/21 21:03:16]
🏭 bybit | $BTCUSD

🗣️Someone better gets a job soon - MortyPyton",0,2021-11-15 21:03:17+00:00
17,"📉💴$1,706,496 #bitcoin SHORTED @$63500.01 [15/11/21 21:03:16]
🏭 bybit | $BTCUSD

🗣️Ain’t no cure for stupid! - MossMiners",0,2021-11-15 21:03:17+00:00
18,"RT @domains_perfect: https://t.co/18SCuT8x5H  Domain name For Sale @Sedo
#Metaverse #GoMetaverse #App #DeFi #NFT #Marketing #Media #News #t…",0,2021-11-15 21:03:16+00:00
19,"🐮 BULLWHALE! just LONGED $8,789,734 worth of #Bitcoin #BTC at $63,500 on #Binance Futures",1,2021-11-15 21:03:16+00:00
20,RT @BitcoinSenpai: Crypto needs to reverse higher quickly otherwise the extreme volatility compression (happens once a year at most) is goi…,0,2021-11-15 21:03:16+00:00
21,"Trending on #LunarCrush:

""A Ukrainian government official has declared his ownership of 124 #Bitcoin worth +$8m 🤔"" via @BTC_Archive

Top coin mentions
$btc

https://t.co/SxaoKPgA5i #LunarShare https://t.co/27e3aqwOrO",0,2021-11-15 21:03:16+00:00
22,"RT @jimmysong: When your hammer is a money printer, everything looks like it can be solved by throwing money at it.

Fiat hides a lot of st…",0,2021-11-15 21:03:16+00:00
23,"Bitcoin  -  $64192.0  (€56493.0)
Ethereum  -  $4580.91  (€4032.42)
Chainlink  -  $32.64  (€28.73)
Solana  -  $237.66 (€209.2)
Litecoin  -  $263.27 (€231.75)",0,2021-11-15 21:03:15+00:00
24,"RT @bfmbusiness: «L’or, c’est du bitcoin en moins bien», pourquoi le prix du bitcoin pourrait dépasser le million de dollars

Réponse avec…",0,2021-11-15 21:03:15+00:00
25,"RT @InvestWithDiego: @nypost I think @coinbase has the wrong #bitcoin listed on their site. 
I don't think this #BTC is bitcoin  🤔

@Coinba…",0,2021-11-15 21:03:15+00:00
26,"Current Price: $0.0000000101780
Market Cap: $1,017,805

Contract address: 0xDF530d0fE2d840cF6655F0CaA29DB83B173B3EE1

2,023 Holders | Last Tx: 26 mins ago #PUG #PUGCOIN #Binance #Metaverse #x100gems #DOGE #SHIB #Bitcoin",0,2021-11-15 21:03:15+00:00
27,"RT @AirdropDet: 🔍 New #Airdrop: GamesPad

💲Airdrop Pool: 10,000 BUSD

🔴 Start the airdrop bot https://t.co/lR8DxjjDD8

🔘 Do the tasks on th…",0,2021-11-15 21:03:15+00:00
28,"@InvestWithDiego @nypost @coinbase @CoinbaseSupport @CoinbasePro I think you are right. 😉
@CoinbaseSupport  why do you not list the real #Bitcoin? (AKA #BSV)",1,2021-11-15 21:03:15+00:00
29,"RT @CarlosPortillSV: Han visto que la campaña contra la Ley #Bitcoin ha sido desmentida de la forma más épica posible:

Miles de extranjero…",0,2021-11-15 21:03:15+00:00
30,RT @jokoono: Still unreal to pay with Bitcoin at @McDonalds https://t.co/hwDrKemg4N,0,2021-11-15 21:03:14+00:00
31,"🚀 New CoinMarketCoins  listing found!🚀

DRIFE (DRF)

CoinMarketCoins  page for more info:

https://t.co/k7Kcn6BPt9

#bitcoin  #btc  #cryptocurrency  #beurop   #blockchain  #BinanceSmartChain  #USDT  #Cmarketcoins #Crypto #Drife_official  @Drife_official",1,2021-11-15 21:03:14+00:00
32,"🤴😎@gk2999👑👑👑

Dinnaaa,✅,Ladies💃🏻

👁,The “JOHN” Dorsey,Has Arrived To The..()

An Extremely Successful,And Bright Guy Behind..()

Yes,@jack IS..()!

Give The Credit Where..()!

So,Hyperinflation!

S: #Bitcoin or #BTC ⚡️

Repeatingly,Smoothly,Suavely,Stylishly,Belligerently!",0,2021-11-15 21:03:13+00:00
33,"RT @WilliamSorianoH: #BitcoinWeek #LibertadEconómica | Esta es la mejor estrategia de atracción de inversiones que se ha hecho en 🇸🇻.

Asis…",0,2021-11-15 21:03:13+00:00
34,RT @saylor: A publicly traded #Bitcoin miner @MarathonDH is raising $500 million in a debt offering to acquire bitcoin and bitcoin mining m…,0,2021-11-15 21:03:13+00:00
35,RT @Rolandezra101: Selling peanuts for #bitcoin  in El Salvador 🇸🇻 https://t.co/zVN7QXJqQO,0,2021-11-15 21:03:13+00:00
36,"@WazirXIndia Don't depend on a single income, Learn how to trade binace / Bitcoin 
Click on the link for more information
👇👇👇👇👇
https://t.co/nCKg9kmhck",0,2021-11-15 21:03:13+00:00
37,"RT @birkinfinder: If you're looking for a desktop #BitcoinWallet, @youHODL_bitcoin is my recommendation. 

Great interface and impossible t…",0,2021-11-15 21:03:12+00:00
38,"RT @hunterdoge_: $HD got listed on CMC within a day! ⭐️

Without fast tracking!

For more information to HunterDoge, you're welcome to join…",0,2021-11-15 21:03:12+00:00
39,"RT @anibalcripto: Llegamos a El Salvador🇸🇻! 
Resumen: Clima templado🥵, gente cordial y cálida😊, paisajes verdes por doquier🌳y lo mejor pagu…",0,2021-11-15 21:03:12+00:00
40,"RT @cancilleriasv: ""La visión del futuro que tienen las personas del gobierno me impresionó muchísimo"", destaca Veronika Kuett, de la deleg…",0,2021-11-15 21:03:12+00:00
41,"RT @AirdropStario: 💧 The Veteran Airdrop 💧

🏆 Task:          ➕ Up to 10 Million VTN

👨‍👩‍👧 Referral:   ➕  1000 VTN

🔛 Airdrop Link &amp; Inform…",0,2021-11-15 21:03:12+00:00
42,"RT @carolintaling: #Cardano is the second most active chain last 24 hours, after #Bitcoin All this before Plutus Application Backend tool,…",0,2021-11-15 21:03:11+00:00
43,"RT @Dot_dots: Aya Miyaguchi, one of just 3 executive board members at the Ethereum Foundation, works for the @wef.

Ethereum is a distracti…",0,2021-11-15 21:03:11+00:00
44,RT @DylanLeClair_: Publicly traded Marathon Digital is offering $500 million of senior convertible notes due in 2026 to buy additional #bit…,0,2021-11-15 21:03:11+00:00
45,"Bitcoin Mining Company Marathon Digital Hit With SEC Subpoena 
► https://t.co/4XU0C7UPsY https://t.co/yxtRhGRM3C",1,2021-11-15 21:03:10+00:00
46,RT @BitsBeTrippin: Mining on the battery on the front of the boat - says I will get 1 hour of mining lol 😂 40+ mph wind and 82. Let’s see h…,0,2021-11-15 21:03:10+00:00
47,#linkedin #twitter #facebook #instagram #doge #socialmedia #pinterest #dogecoin #deal #gift #birthday #gifts #giftideas #shop #shopping #affiliatemarketing #bitcoin #freeshipping on purchases over $25 at #Amazon https://t.co/E0egX01ArP,0,2021-11-15 21:03:10+00:00
48,"RT @enginerdoganxu: Ücretsiz Teknik Analiz şöleni 🚀

Emeğe saygı için lütfen RT - FAV tuşuna basın ❤️

Hafta sonuna kadar sabitliyorum 🔥

L…",0,2021-11-15 21:03:09+00:00
